"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","WIN"
"NYK",91.66666,60.875,28.33333,21.58333,7.416666,12.75,16.66666,10.83333,29.5,19.83333,7.791666,13.20833,3.541666,21.12499,"LAL",97.54166,65.91666,29.16666,18.83333,7.125,17.83333,23.625,12.08333,31.08333,19.375,7.458333,13.33333,3.916666,20.25,0
"BKN",96.20833,60.5,29.875,21.16666,6.625,16.58333,22.75,9.583333,32.83333,20.5,7.25,13.91666,3.416666,20.41666,"LAC",106.3636,58.68181,30.13636,25.40909,9.454545,17.72727,23.77272,9.545454,31.13636,22.45454,8.0,10.81818,3.863636,21.40909,0
"CLE",102.5925,56.14814,28.51851,25.0,9.370370,17.44444,23.14814,10.88888,31.29629,23.77777,7.0,13.37037,4.592592,17.51851,"PHI",84.84615,56.69230,24.73076,24.07692,6.846153,14.84615,23.23076,12.11538,30.03846,17.65384,10.19230,18.03846,5.423076,20.34615,1
"DAL",108.3913,59.04347,32.17391,25.47826,8.695652,17.95652,23.78260,10.34782,30.52173,22.86956,8.782608,12.13043,5.347826,19.73913,"MIN",98.6,68.48,31.64000,15.64,5.48,18.88,25.2,11.72,28.76,22.44,8.200000,14.76,4.08,20.12,1
"NOP",105.5217,65.39130,32.82608,18.65217,7.043478,18.73913,24.43478,12.69565,32.73913,22.82608,7.434782,11.95652,7.130434,18.39130,"ATL",104.3478,56.60869,28.73913,25.04347,9.782608,17.52173,22.95652,8.478260,32.34782,25.39130,8.434782,13.30434,4.869565,18.95652,1
"OKC",101.4761,63.04761,31.19047,22.52380,7.142857,17.66666,22.76190,12.28571,35.28571,20.09523,7.666666,13.90476,6.476190,22.95238,"ORL",95.17241,62.62068,30.65517,18.72413,6.655172,13.89655,18.86206,8.862068,31.72413,19.89655,7.275862,14.27586,3.517241,21.34482,1
"PHX",107.12,57.88,30.16,26.92,9.88,17.16,22.0,10.52,31.36,20.64,8.8,14.88,4.760000,22.31999,"MEM",98.86363,66.49999,32.5,16.36363,5.318181,17.90909,23.72727,10.81818,31.22727,22.59090,9.090909,12.86363,3.818181,19.22727,1
"TOR",103.7692,57.42307,28.65384,25.88461,9.346153,18.42307,23.61538,11.03846,31.80769,21.92307,7.346153,12.96153,4.807692,20.73076,"MIL",99.0,61.77777,31.14814,19.40740,7.074074,15.48148,20.37037,8.740740,30.66666,23.40740,10.03703,15.70370,4.518518,23.18518,1
"WAS",101.8846,67.42307,32.96153,15.88461,6.423076,16.69230,21.92307,10.34615,34.46153,25.5,8.461538,14.69230,5.461538,21.19230,"CHA",94.65217,66.00000,30.78260,17.56521,5.347826,17.04347,22.82608,10.34782,33.00000,19.82608,6.130434,11.82608,4.434782,17.86956,1
"DET",100.12,60.24,27.92,25.52,9.000000,17.28,24.32,12.64,31.68,23.16,7.76,12.0,4.56,18.24,"MIA",91.92,56.24,27.96,19.6,6.36,16.91999,23.12,8.8,29.4,21.08000,7.52,12.84,4.8,18.92,1
"NYK",91.88,60.96,28.56,21.52,7.4,12.56,16.44,10.88000,29.24,19.92,7.76,13.2,3.48,20.99999,"BOS",99.86956,64.34782,31.47826,23.26086,7.391304,14.73913,19.78260,10.69565,32.82608,23.91304,8.608695,14.69565,3.999999,20.82608,0
"PHI",95.25,56.16666,26.58333,24.08333,7.916666,18.33333,25.0,10.91666,30.66666,23.125,9.666666,17.33333,6.875,22.25,"DEN",97.16666,62.04166,29.20833,24.79166,7.625,15.87500,22.54166,11.83333,32.33333,21.20833,7.166666,13.95833,4.791666,23.29166,0
"POR",101.6923,58.26923,27.80769,27.76923,10.03846,15.96153,20.73076,11.5,35.61538,22.23076,7.076923,13.42307,5.192307,18.42307,"UTA",94.36,58.08,27.8,19.83999,7.2,17.16,23.36,11.24,30.52,21.4,7.16,15.16,5.44,18.59999,1
"SAC",102.0769,66.07692,32.11538,15.76923,5.192307,22.26923,29.03846,11.53846,32.69230,19.84615,6.461538,15.42307,3.384615,21.30769,"GSW",107.4545,60.09090,30.63636,25.72727,9.454545,17.81818,23.22727,10.5,34.59090,24.54545,9.181818,15.45454,6.545454,20.81818,0
"ATL",102.5185,54.55555,27.96296,25.48148,9.814814,17.14814,22.11111,8.555555,32.62962,26.33333,9.0,13.11111,4.259259,17.40740,"WAS",97.62500,64.79166,32.54166,16.04166,5.583333,15.79166,21.875,10.20833,32.41666,23.08333,6.375,13.83333,3.916666,21.0,1
"BOS",102.2,64.72000,32.0,22.92,7.76,14.92,19.68,10.79999,32.36,25.16,7.48,13.36,4.0,21.19999,"DEN",97.28000,61.8,29.2,24.76,7.48,16.44,22.95999,11.92,32.4,21.08,7.24,14.0,4.84,23.12,1
"GSW",114.8,59.6,32.32,28.0,11.36,16.08,20.56,10.12000,34.72,29.8,9.560000,13.88,5.84,19.08000,"DAL",105.6785,59.17857,29.53571,27.46428,10.21428,15.96428,20.96428,10.89285,31.99999,23.5,7.607142,11.85714,4.5,19.96428,1
"HOU",99.875,49.58333,23.91666,33.79166,11.625,17.16666,24.25,11.83333,31.66666,20.41666,10.83333,16.04166,4.708333,21.79166,"CHI",100.3846,60.0,28.11538,21.61538,7.730769,20.96153,27.03846,11.19230,35.38461,20.46153,6.384615,13.73076,5.423076,18.69230,0
"IND",95.52173,62.82608,29.73913,19.91304,6.782608,15.69565,21.60869,11.13043,33.91304,20.47826,5.695652,13.34782,4.956521,19.13043,"DET",96.44,60.84,27.84,24.96,8.56,15.08,21.6,13.36,33.24,19.64,7.88,14.0,4.56,19.52000,0
"MIL",98.31818,62.68181,29.86363,18.63636,7.409090,16.36363,20.90909,11.72727,31.63636,23.95454,8.954545,16.27272,5.090909,21.59090,"LAL",97.84,65.88,29.2,19.2,7.2,17.84000,23.68,12.32,31.24,19.48,7.28,13.44,3.840000,20.44,1
"MIN",96.08333,70.375,31.79166,14.20833,4.625,18.625,24.5,12.29166,28.79166,21.79166,8.916666,13.70833,4.0,18.91666,"MIA",92.26923,56.53846,28.11538,19.46153,6.384615,16.88461,23.15384,9.038461,29.5,20.96153,7.653846,13.03846,4.730769,19.07692,1
"NOP",104.9166,65.66666,32.70833,18.91666,7.041666,18.37499,23.95833,12.95833,32.58333,22.83333,7.416666,11.875,6.958333,18.20833,"OKC",97.57142,61.46428,29.32142,22.78571,7.321428,16.96428,23.53571,11.71428,34.07142,20.07142,6.857142,14.35714,5.642857,22.0,1
"SAS",104.5384,59.15384,29.84615,23.65384,9.192307,17.26923,23.26923,9.884615,34.46153,25.57692,7.653846,14.38461,5.692307,17.99999,"ORL",95.43333,62.63333,30.7,18.8,6.766666,13.73333,18.7,8.733333,31.8,20.13333,7.233333,14.2,3.433333,21.16666,1
"TOR",103.3703,57.0,28.51851,26.14814,9.370370,18.22222,23.40740,10.96296,31.70370,21.92592,7.185185,12.81481,4.777777,20.55555,"BKN",96.0,61.08333,29.66666,20.54166,6.833333,16.16666,21.12499,9.958333,31.25,20.75,7.125,13.66666,4.791666,19.83333,1
"UTA",97.41666,58.375,29.33333,22.41666,7.208333,17.125,22.83333,12.125,31.45833,18.875,6.625,13.125,6.166666,19.125,"MEM",98.91304,66.52173,32.47826,16.21739,5.347826,17.91304,23.65217,10.82608,31.04347,22.73913,8.999999,12.69565,3.826086,19.30434,0
"CHA",94.80769,66.69230,30.0,19.07692,5.769230,17.5,24.30769,10.34615,34.61538,20.46153,5.538461,10.34615,6.384615,19.15384,"WAS",97.20000,65.16000,32.44,15.8,5.56,15.64,21.68,10.16000,32.23999,22.96,6.2,13.76,3.960000,21.2,0
"CLE",102.6785,55.64285,28.32142,25.17857,9.321428,18.07142,23.89285,11.0,31.53571,23.75,7.107142,13.53571,4.571428,17.64285,"LAC",105.8260,59.13043,30.26086,25.26086,9.260869,17.52173,23.60869,9.739130,31.04347,22.52173,8.043478,10.86956,3.739130,21.73913,0
"POR",101.9259,58.29629,27.96296,27.88888,9.962962,16.11111,20.81481,11.55555,35.92592,22.18518,7.074074,13.44444,5.259259,18.25925,"PHX",105.4230,61.38461,30.61538,26.38461,9.192307,16.61538,20.96153,10.76923,32.34615,20.92307,8.807692,14.26923,4.961538,22.23076,0
"SAC",101.1851,65.77777,31.88888,15.96296,5.111111,22.07407,28.77777,11.37037,33.03703,19.59259,6.407407,15.48148,3.555555,21.18518,"DAL",105.5172,59.27586,29.51724,27.68965,10.27586,15.65517,20.58620,10.79310,32.27586,23.55172,7.655172,11.75862,4.586206,19.93103,0
"ATL",103.2857,54.39285,27.78571,25.53571,10.0,17.71428,22.64285,8.392857,32.67857,26.39285,9.142857,13.10714,4.249999,17.46428,"GSW",107.8260,60.52173,30.82608,26.04347,9.565217,17.47826,22.86956,10.86956,34.47826,24.82608,9.086956,15.39130,6.565217,20.95652,0
"BOS",102.3846,64.50000,31.88461,23.07692,7.846153,15.07692,19.88461,10.80769,32.73076,25.23076,7.5,13.23076,4.0,21.30769,"PHI",85.25925,56.59259,24.70370,24.11111,7.0,14.85185,23.51851,12.07407,30.14814,17.81481,10.03703,18.00000,5.333333,20.29629,1
"BKN",96.04,60.6,30.04,20.76,6.48,16.52,22.72,9.6,33.0,20.6,7.0,13.92,3.68,20.36,"NYK",93.48,62.12,28.76,19.6,7.32,14.0,18.24,10.47999,29.12,23.2,6.6,13.68,4.48,22.96,1
"DET",100.0384,60.15384,28.11538,25.46153,8.807692,17.38461,24.38461,12.57692,32.0,23.15384,7.615384,12.15384,4.538461,18.15384,"DEN",96.92307,61.84615,29.15384,24.65384,7.384615,16.46153,22.92307,11.88461,32.38461,21.11538,7.230769,13.96153,4.846153,23.15384,1
"HOU",100.56,49.56,24.0,33.72,11.76,17.28,24.44,11.76,31.68,20.88,10.84,16.08,4.719999,21.6,"MIL",99.42857,62.35714,31.60714,19.32142,6.964285,15.32142,20.17857,8.821428,30.64285,23.60714,10.03571,15.60714,4.464285,23.17857,1
"IND",95.83333,62.625,29.70833,19.95833,6.833333,15.91666,21.79166,11.04166,33.83333,20.70833,5.833333,13.125,4.833333,18.91666,"CLE",100.5416,58.04166,28.29166,25.58333,8.333333,18.95833,25.16666,12.16666,30.625,18.75000,7.5,12.83333,3.541666,18.91666,0
"MIN",95.84,70.12,31.72,14.32,4.64,18.48,24.2,12.28,28.88,21.6,8.88,13.8,3.88,19.0,"MEM",98.5,66.12499,32.54166,16.04166,5.208333,17.79166,23.5,10.45833,30.91666,22.58333,9.083333,12.91666,3.875,19.29166,0
"OKC",102.0,63.13636,31.22727,22.59090,7.181818,18.0,23.0,12.18181,35.04545,20.04545,7.818181,13.86363,6.545454,22.95454,"NOP",96.65384,64.53846,30.65384,19.30769,6.346153,16.30769,21.53846,11.69230,31.76923,20.23076,6.653846,12.53846,4.807692,19.53846,1
"ORL",96.86956,62.47826,30.04347,19.86956,7.217391,15.13043,20.65217,9.304347,31.86956,21.13043,7.695652,14.65217,3.652173,21.0,"LAL",97.80769,66.07692,29.15384,19.46153,7.346153,17.46153,23.26923,12.42307,31.11538,19.76923,7.461538,13.46153,4.000000,20.15384,0
"PHX",106.8461,57.84615,29.92307,26.92307,10.03846,16.88461,21.69230,10.5,31.46153,20.61538,8.846153,14.73076,4.769230,22.07692,"UTA",94.30769,58.15384,27.88461,19.84615,7.192307,16.96153,23.15384,11.03846,30.76923,21.46153,7.192307,15.11538,5.384615,18.49999,1
"SAS",104.2962,58.96296,29.81481,23.85185,9.259259,16.88888,22.74074,10.03703,34.25925,25.77777,7.814814,14.44444,5.629629,17.99999,"MIA",92.0,56.81481,28.22222,19.33333,6.333333,16.55555,22.62962,9.074074,29.40740,21.03703,7.629629,13.14814,4.666666,18.74074,1
"TOR",104.0714,56.57142,28.46428,26.28571,9.499999,18.64285,23.89285,10.92857,31.71428,22.03571,7.178571,12.75,4.642857,20.5,"LAC",105.875,58.95833,30.33333,25.16666,9.125,17.83333,23.91666,9.625,30.70833,22.45833,8.041666,10.75000,3.75,21.70833,0
"DAL",108.5,59.45833,32.04166,25.91666,8.916666,17.66666,23.45833,10.75,30.70833,22.79166,8.874999,12.25,5.416666,19.74999,"POR",103.1666,59.125,28.625,27.66666,10.25,15.16666,18.75,10.49999,33.79166,22.41666,6.958333,13.70833,4.75,19.79166,1
"MIL",98.21739,62.34782,29.82608,18.69565,7.434782,16.26086,20.82608,11.47826,31.73913,23.82608,8.826086,16.08695,5.130434,21.52173,"BOS",99.58333,64.04166,31.375,23.5,7.375,14.70833,19.79166,10.70833,32.83333,23.75,8.541666,14.54166,3.874999,20.75,0
"NOP",103.6,65.8,32.52,18.83999,6.92,17.79999,23.28,12.92,32.31999,22.56,7.44,11.84,6.92,17.99999,"CHI",100.6296,60.07407,28.29629,21.62962,7.814814,20.59259,26.51851,11.07407,35.44444,20.37037,6.370370,13.62962,5.370370,18.25925,1
"NYK",91.88461,61.26923,28.5,21.38461,7.423076,12.61538,16.46153,11.03846,29.23076,20.03846,7.730769,13.19230,3.384615,20.96153,"GSW",107.75,60.33333,30.58333,26.0,9.666666,17.58333,22.91666,10.91666,34.54166,24.66666,9.041666,15.33333,6.5,20.875,0
"PHI",95.0,55.96,26.32,24.04,7.96,18.48,25.2,10.68,31.12,22.96,9.52,17.24,6.8,22.24,"CHA",94.08333,65.79166,30.45833,17.79166,5.375,17.04166,22.70833,10.125,33.20833,20.0,6.25,11.83333,4.458333,17.95833,1
"UTA",97.6,58.72,29.68,22.28,7.12,16.88,22.6,12.2,31.36,18.96,6.6,12.96,6.16,19.48,"SAC",99.77272,62.68181,29.95454,15.59090,5.181818,24.31818,30.59090,10.40909,34.36363,18.59090,6.545454,16.0,4.272727,22.13636,0
"WAS",102.3333,67.40740,33.03703,16.03703,6.518518,16.70370,21.96296,10.55555,34.48148,25.70370,8.481481,14.66666,5.370370,21.29629,"BKN",95.24,61.0,29.36,20.44,6.72,16.36,21.51999,10.08,31.0,20.6,7.16,13.72,4.76,19.84,1
"CHA",95.07407,66.55555,29.92592,18.88888,5.851851,17.66666,24.44444,10.11111,34.48148,20.59259,5.518518,10.33333,6.296296,19.29629,"IND",95.57142,62.71428,29.10714,21.46428,6.857142,16.78571,21.46428,10.39285,34.32142,21.39285,6.285714,14.32142,4.107142,22.5,0
"CLE",103.2758,55.41379,28.27586,25.44827,9.620689,17.86206,23.75862,10.82758,31.82758,24.0,7.068965,13.55172,4.655172,17.55172,"LAL",98.07407,66.48148,29.33333,19.59259,7.333333,17.40740,23.11111,12.66666,30.96296,19.85185,7.592592,13.22222,4.037037,20.07407,1
"DET",100.0740,59.70370,28.07407,25.66666,8.851851,17.37037,24.29629,12.55555,31.66666,22.96296,7.629629,12.25925,4.518518,18.40740,"MIN",99.11538,68.30769,31.73076,15.5,5.461538,19.26923,25.53846,11.61538,28.84615,22.57692,8.115384,14.76923,3.961538,20.11538,1
"HOU",100.4615,49.46153,23.76923,33.76923,11.80769,17.5,24.80769,11.88461,31.42307,21.0,10.69230,15.88461,4.576923,21.69230,"POR",103.4,58.64,28.72,27.72,10.2,15.36,18.92,10.23999,33.84,22.32,7.0,13.6,4.76,19.76,0
"MEM",103.0370,69.07407,33.74074,15.22222,5.481481,19.11111,23.85185,10.70370,34.00000,21.74074,7.703703,12.48148,4.851851,19.14814,"ATL",103.6666,56.33333,28.41666,25.25,9.874999,17.20833,22.45833,8.25,32.41666,25.04166,8.333333,13.33333,4.874999,18.83333,0
"OKC",103.2608,63.34782,31.52173,22.47826,7.217391,18.56521,23.65217,12.34782,35.17391,20.30434,7.826086,13.73913,6.521739,22.86956,"LAC",105.96,58.92,30.32,25.44,9.24,17.6,23.64,9.56,30.32,22.68000,8.08,10.84000,3.68,21.88,0
"ORL",96.875,62.29166,30.04166,20.08333,7.291666,14.91666,20.33333,9.458333,31.87500,21.125,7.75,14.70833,3.666666,21.0,"CHI",100.5357,59.89285,28.32142,21.64285,7.821428,20.42857,26.21428,10.92857,35.17857,20.60714,6.535714,13.67857,5.214285,18.0,0
"SAC",100.6071,65.67857,31.82142,15.82142,5.071428,21.75,28.5,11.10714,33.25,19.60714,6.214285,15.46428,3.607142,21.03571,"PHX",104.5925,61.44444,30.51851,26.44444,9.037037,16.44444,20.81481,10.77777,32.33333,20.77777,8.814814,14.11111,4.925925,22.33333,0
"TOR",103.4827,56.72413,28.44827,25.82758,9.310344,18.65517,23.89655,10.75862,32.06896,21.89655,7.310344,12.79310,4.724137,20.31034,"SAS",96.66666,61.5,28.875,22.00000,7.499999,16.41666,20.75,10.16666,33.12499,22.83333,7.416666,13.16666,5.125000,20.66666,1
"DAL",108.08,58.96,31.68,26.24,8.96,17.84,23.72,10.88,30.8,22.64,8.599999,12.24,5.32,19.99999,"LAC",106.3076,59.15384,30.38461,25.5,9.230769,17.84615,23.84615,9.846153,30.53846,22.61538,8.076923,10.65384,3.653846,22.0,1
"DEN",104.2307,63.84615,30.57692,22.46153,7.538461,20.46153,26.92307,12.46153,33.53846,22.0,6.769230,13.84615,4.500000,23.11538,"OKC",98.48275,61.27586,29.37931,22.82758,7.482758,17.27586,23.93103,11.62068,33.96551,20.20689,6.758620,14.27586,5.620689,22.03448,1
"IND",95.72,62.8,29.64,20.00000,6.88,15.8,21.44,11.04,34.04,20.84000,5.76,13.08,4.88,18.75999,"SAS",96.6,61.6,28.96,22.12000,7.439999,16.36,20.6,10.08,33.15999,22.64,7.44,12.92,5.200000,20.36,0
"MIA",93.625,52.70833,26.25,21.24999,7.666666,18.125,24.16666,8.125000,29.08333,19.04166,8.25,13.91666,3.666666,20.58333,"NYK",93.53846,62.19230,28.76923,19.61538,7.307692,14.07692,18.26923,10.49999,28.92307,23.15384,6.653846,13.65384,4.615384,22.92307,1
"MIL",98.41666,62.70833,29.83333,18.66666,7.416666,16.5,21.0,11.58333,31.66666,23.875,9.041666,15.79166,5.083333,21.20833,"BKN",95.30769,60.61538,29.34615,20.61538,6.807692,16.19230,21.42307,10.0,30.96153,20.76923,7.0,13.76923,4.884615,19.73076,1
"MIN",96.19230,70.38461,31.92307,14.38461,4.653846,18.38461,24.11538,12.69230,28.80769,21.69230,8.769230,13.88461,4.038461,19.0,"ATL",104.2,56.68,28.64,25.08,9.879999,17.28,22.36,8.32,32.16,25.07999,8.56,13.2,4.919999,18.92,0
"NOP",103.3076,65.46153,32.03846,18.96153,7.153846,17.76923,23.15384,13.0,32.03846,22.46153,7.346153,11.96153,7.307692,18.03846,"UTA",94.51851,58.66666,27.96296,19.88888,7.259259,16.81481,23.0,11.40740,30.59259,21.51851,7.333333,14.92592,5.518518,18.44444,1
"PHI",94.57692,55.92307,26.30769,24.03846,7.923076,18.19230,24.76923,10.65384,31.53846,22.88461,9.5,17.61538,6.692307,22.11538,"GSW",107.0,60.16,30.44,26.12,9.56,17.44,22.76,10.72,34.52,24.72,9.28,15.28,6.44,20.6,0
"WAS",102.1071,66.85714,32.78571,16.35714,6.535714,16.92857,22.14285,10.64285,34.67857,25.67857,8.428571,14.85714,5.285714,21.03571,"ORL",94.93548,62.58064,30.64516,18.90322,6.677419,13.61290,18.58064,8.709677,31.58064,20.06451,7.419354,14.09677,3.516129,21.25806,1
"CHI",103.56,63.84,30.32,21.16,7.52,20.36,25.76,13.12,31.8,22.52,6.16,12.8,7.72,18.28,"SAC",99.17391,62.69565,30.08695,15.43478,5.043478,23.86956,30.43478,10.52173,34.26086,18.78260,6.391304,15.86956,4.217391,21.82608,1
"CHA",94.46428,66.21428,29.57142,19.07142,5.964285,17.42857,24.07142,10.10714,34.25000,20.60714,5.357142,10.35714,6.392857,19.35714,"DET",96.80769,60.96153,28.0,24.73076,8.423076,15.53846,21.92307,13.23076,33.42307,19.69230,7.884615,13.76923,4.576923,19.46153,0
"LAL",100.72,66.72000,31.72,19.24,6.12,18.92,25.72,10.96,32.48,21.52,6.88,11.92,4.88,22.24,"DEN",97.25925,61.88888,29.51851,24.33333,7.259259,16.44444,22.92592,11.59259,32.33333,21.25925,7.296296,13.70370,4.962962,23.11111,1
"MEM",102.75,68.82142,33.60714,15.35714,5.5,19.03571,23.89285,10.75,33.96428,21.82142,7.928571,12.46428,5.0,19.14285,"BKN",94.96296,60.92592,29.44444,20.29629,6.666666,16.07407,21.25925,10.14814,31.0,20.51851,7.0,14.0,4.888888,19.88888,1
"PHX",107.2592,57.96296,29.88888,26.88888,10.11111,17.14814,22.0,10.59259,31.25925,20.51851,8.851851,14.70370,4.777777,21.92592,"HOU",106.1153,51.11538,26.26923,33.07692,11.88461,17.92307,24.61538,12.26923,31.30769,22.19230,8.730769,16.46153,4.346153,23.23076,1
"BOS",101.8888,64.40740,31.44444,23.37037,7.925925,15.22222,19.88888,10.99999,33.00000,25.07407,7.481481,13.11111,4.0,21.37037,"ATL",103.5769,56.38461,28.53846,25.23076,9.769230,17.19230,22.38461,8.192307,32.42307,24.99999,8.461538,13.15384,4.923076,18.84615,0
"CLE",103.6,55.33333,28.46666,25.43333,9.633333,17.76666,23.6,10.8,31.86666,24.26666,7.133333,13.6,4.6,17.6,"MIA",92.03571,56.92857,28.10714,19.5,6.428571,16.53571,22.53571,9.178571,29.21428,21.03571,7.714285,13.17857,4.642857,18.75000,1
"DAL",107.2692,58.5,31.15384,26.30769,9.000000,17.96153,23.80769,10.73076,30.80769,22.46153,8.692307,12.19230,5.230769,20.03846,"UTA",94.07142,58.39285,27.64285,20.21428,7.392857,16.60714,22.92857,11.5,30.85714,21.42857,7.392857,15.03571,5.571428,18.53571,1
"DET",99.60714,59.71428,27.92857,25.5,8.857142,17.17857,24.03571,12.46428,31.46428,22.75,7.5,12.17857,4.499999,18.25,"SAS",96.88461,61.57692,29.07692,22.30769,7.538461,16.11538,20.23076,10.23076,33.07692,22.76923,7.461538,12.80769,5.230769,20.19230,1
"LAC",107.1428,54.92857,28.75,26.71428,10.10714,19.32142,26.46428,9.178571,33.60714,26.35714,7.678571,12.32142,5.642857,19.85714,"HOU",105.7037,50.77777,26.22222,33.51851,11.77777,17.92592,24.51851,12.33333,31.14814,22.33333,8.629629,16.48148,4.407407,23.59259,1
"MIL",98.92,62.8,29.92,18.52,7.4,16.88,21.44,11.52,31.8,23.84,9.12,15.71999,5.08,21.32,"SAC",99.33333,62.66666,30.0,15.70833,5.166666,23.83333,30.41666,10.75,34.16666,19.00000,6.416666,15.95833,4.25,21.875,0
"MIN",96.0,70.44444,31.77777,14.37037,4.666666,18.44444,24.22222,12.62962,29.18518,21.55555,8.703703,13.81481,3.962962,18.81481,"GSW",106.5,60.26923,30.53846,26.15384,9.461538,17.03846,22.23076,10.69230,34.69230,24.76923,9.192307,15.26923,6.423076,20.5,0
"NOP",102.9259,65.22222,31.85185,18.81481,7.148148,17.77777,23.22222,12.77777,31.77777,22.44444,7.259259,12.0,7.148148,17.99999,"IND",95.93103,62.44827,29.17241,21.41379,6.931034,16.79310,21.34482,10.27586,34.17241,21.62068,6.310344,14.27586,4.034482,22.55172,1
"OKC",103.3333,63.33333,31.45833,22.375,7.208333,18.79166,23.70833,12.29166,35.29166,20.45833,7.791666,13.70833,6.625,22.875,"MEM",98.12,66.43999,32.44,15.87999,5.08,17.99999,23.76,10.48,30.92,22.2,8.999999,12.92,3.8,19.36,1
"ORL",96.56,62.04,29.92,19.72,7.16,15.24,20.64,9.36,32.08000,20.8,7.68,14.76,3.88,21.2,"NYK",93.14814,62.03703,28.44444,19.44444,7.222222,14.59259,18.92592,10.40740,29.0,23.0,6.666666,13.59259,4.592592,22.85185,1
"POR",101.9285,58.21428,27.85714,27.96428,9.964285,16.32142,20.89285,11.67857,35.96428,22.35714,7.0,13.32142,5.25,18.00000,"LAL",97.64285,66.85714,29.25,19.46428,7.321428,17.17857,22.67857,12.71428,31.07142,19.75,7.464285,13.10714,4.071428,20.17857,1
"TOR",103.2,56.5,28.16666,25.83333,9.366666,18.76666,23.96666,10.7,31.93333,21.73333,7.366666,12.8,4.733333,20.06666,"WAS",97.03846,65.11538,32.5,16.0,5.538461,15.42307,21.46153,10.34615,32.34615,23.03846,6.230769,13.84615,4.038461,20.96153,1
"CHI",103.9230,64.03846,30.42307,21.23076,7.576923,20.34615,25.76923,13.11538,31.88461,22.76923,6.307692,12.61538,7.538461,18.46153,"CLE",100.44,57.88,28.32,25.8,8.32,18.84,25.04,12.08,30.72,18.80000,7.4,12.96,3.52,19.08,1
"LAC",107.5517,55.03448,28.93103,26.44827,10.03448,19.58620,27.34482,9.206896,33.58620,26.34482,7.758620,12.31034,5.586206,19.93103,"SAS",97.55555,61.37037,29.22222,22.51851,7.629629,16.22222,20.33333,10.03703,33.07407,23.18518,7.407407,12.92592,5.111111,20.62962,1
"OKC",103.36,63.56,31.44,22.36,7.2,18.88,23.8,12.64,35.52,20.44,7.8,14.04,6.36,22.76,"DAL",104.9666,59.43333,29.33333,27.66666,10.23333,15.6,20.46666,10.9,32.03333,23.3,7.866666,11.93333,4.533333,19.93333,0
"ATL",102.4827,54.24137,27.55172,25.96551,9.931034,17.58620,22.58620,8.689655,32.75862,26.13793,9.034482,13.41379,4.379310,17.20689,"TOR",108.5833,61.41666,31.08333,25.08333,8.499999,20.91666,26.75,11.75,29.625,20.41666,7.916666,11.41666,4.416666,22.70833,0
"DAL",107.4074,58.88888,31.29629,26.22222,9.000000,17.81481,23.59259,10.77777,31.07407,22.59259,8.740740,12.37037,5.111111,19.99999,"HOU",105.5,50.75,26.14285,33.64285,11.78571,17.85714,24.57142,12.39285,31.21428,22.25,8.607142,16.64285,4.571428,23.53571,1
"DET",99.62068,59.79310,28.06896,25.37931,8.758620,17.20689,24.34482,12.41379,31.44827,22.62068,7.655172,12.10344,4.379310,18.41379,"CHI",100.2068,59.96551,28.31034,21.44827,7.724137,20.41379,26.06896,11.0,35.0,20.44827,6.379310,13.89655,5.275862,18.17241,0
"GSW",114.6153,59.26923,32.0,28.19230,11.57692,15.88461,20.46153,10.00000,34.65384,29.76923,9.576923,13.80769,5.807692,19.03846,"SAS",97.60714,61.39285,29.35714,22.39285,7.571428,16.17857,20.32142,10.03571,33.10714,23.25,7.357142,13.03571,5.071428,20.60714,1
"LAL",100.8846,66.69230,31.92307,19.38461,6.038461,18.92307,25.84615,11.07692,32.46153,21.53846,7.0,11.84615,4.846153,22.07692,"BKN",95.64285,61.17857,29.53571,20.32142,6.785714,16.21428,21.35714,10.25,31.07142,20.82142,7.0,13.89285,4.785714,19.89285,1
"MIL",98.53846,62.80769,29.84615,18.38461,7.307692,16.92307,21.46153,11.34615,32.07692,23.76923,8.999999,15.73076,5.076923,21.30769,"DEN",96.67857,61.75,29.28571,24.39285,7.25,16.35714,22.85714,11.67857,32.28571,21.14285,7.428571,13.75,5.035714,22.96428,1
"MIN",96.53571,70.46428,31.92857,14.39285,4.642857,18.75,24.71428,12.78571,29.35714,21.64285,8.642857,13.82142,4.071428,19.14285,"PHX",104.75,61.82142,30.60714,26.10714,8.964285,16.64285,21.17857,11.0,32.28571,20.85714,8.785714,14.07142,5.071428,22.53571,0
"NYK",91.70370,61.37037,28.51851,21.25925,7.370370,12.55555,16.44444,10.88888,29.07407,20.33333,7.814814,13.44444,3.481481,21.14814,"MIA",92.68965,57.0,28.13793,19.51724,6.517241,16.86206,22.96551,9.241379,29.55172,21.27586,7.862068,13.44827,4.620689,18.72413,0
"ORL",96.5,62.34615,30.30769,19.65384,7.038461,14.76923,20.07692,9.346153,32.11538,20.84615,7.538461,14.53846,3.846153,21.19230,"NOP",96.18518,63.99999,30.40740,19.29629,6.296296,16.48148,21.77777,11.51851,31.81481,20.25925,6.629629,12.48148,4.851851,19.22222,1
