"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV,ABLK","APF"
"PHX",105.71875,30.15625,59.40625,9.5625,26.09375,16.718749999999993,21.59375,10.65625,31.71875,20.34375,14.96875,4.750000000000002,21.874999999999996,"PHX",104.11764705882354,30.5,61.470588235294116,8.705882352941176,25.970588235294116,17.000000000000004,21.970588235294116,11.382352941176471,32.26470588235294,20.764705882352942,8.85294117647059,14.382352941176471,4.764705882352941,22.264705882352942
"POR",102.15151515151516,27.818181818181817,58.18181818181818,10.06060606060606,27.96969696969697,16.333333333333332,20.666666666666668,11.606060606060606,36.39393939393939,22.424242424242426,13.484848484848484,5.03030303030303,17.63636363636364,"POR",102.82758620689656,28.482758620689655,58.310344827586206,10.03448275862069,27.517241379310345,15.758620689655173,19.344827586206897,9.96551724137931,34.13793103448277,21.586206896551722,6.586206896551724,13.620689655172415,4.620689655172414,19.689655172413797
"SAC",100.71875,32.15625,66.03125,5.000000000000001,15.531250000000002,21.40625,27.96875,11.09375,33.46875000000001,19.9375,15.8125,3.625,20.999999999999996,"SAC",101.06451612903226,29.806451612903224,63.12903225806452,5.709677419354839,16.516129032258064,24.322580645161292,30.93548387096774,11.03225806451613,33.67741935483871,19.516129032258064,6.709677419354839,15.903225806451614,4.193548387096774,21.06451612903226
"TOR",103.03125,28.28125,56.5,9.218749999999996,25.5625,18.8125,23.875,10.5,31.84375,21.59375,12.84375,4.625000000000002,20.09375,"TOR",105.875,30.5625,61.5,8.34375,25.0,19.71875,25.1875,11.46875,29.03125,19.875,8.28125,11.4375,4.375000000000002,22.25
"UTA",96.26666666666667,29.1,58.7,7.033333333333333,21.633333333333333,16.966666666666672,23.033333333333335,12.033333333333333,31.933333333333334,18.6,13.266666666666667,6.1,19.666666666666668,"UTA",93.9090909090909,27.606060606060606,57.63636363636363,7.2727272727272725,20.15151515151515,16.878787878787875,23.181818181818183,11.484848484848484,31.757575757575758,21.454545454545453,7.363636363636363,15.242424242424242,5.787878787878788,18.48484848484848
"CLE",103.54545454545455,28.393939393939394,55.303030303030305,9.575757575757574,25.424242424242426,18.030303030303024,23.636363636363637,10.787878787878787,32.515151515151516,24.03030303030303,13.606060606060606,4.454545454545454,17.545454545454547,"CLE",102.24242424242425,27.575757575757574,55.72727272727273,9.454545454545455,27.96969696969697,18.727272727272727,24.96969696969697,11.818181818181818,31.303030303030305,19.727272727272727,7.575757575757576,13.06060606060606,3.8181818181818183,19.48484848484848
"DAL",105.65625,31.0,59.0,8.625000000000002,25.28125,17.78125,23.34375,10.53125,31.21875,21.84375,12.53125,5.09375,19.499999999999996,"DAL",102.94117647058823,29.264705882352942,59.5,9.676470588235293,27.147058823529413,15.382352941176471,20.235294117647054,10.441176470588236,31.91176470588235,22.764705882352942,7.970588235294118,11.882352941176471,4.411764705882353,19.764705882352942
"LAC",106.48484848484848,28.696969696969695,55.18181818181818,10.181818181818182,27.0,18.545454545454547,26.242424242424242,9.121212121212121,34.15151515151516,26.393939393939394,12.272727272727273,5.7272727272727275,20.363636363636363,"LAC",105.9375,30.03125,58.5,9.4375,26.125,17.5625,24.09375,9.96875,31.3125,22.250000000000004,7.875,11.000000000000002,4.031250000000001,22.21875
"MIN",97.21212121212122,31.96969696969697,70.27272727272725,4.606060606060606,14.393939393939394,19.454545454545453,25.393939393939394,12.545454545454545,29.96969696969697,21.636363636363637,13.454545454545455,3.9696969696969697,18.96969696969697,"MIN",98.03333333333333,31.53333333333334,68.56666666666666,5.066666666666666,15.2,19.766666666666666,26.033333333333335,11.866666666666667,29.433333333333334,22.166666666666668,8.133333333333333,14.666666666666666,3.7333333333333334,19.933333333333334
"ORL",97.09375,30.46875,62.46875,7.0625,19.90625,14.96875,20.5,9.75,32.281250000000014,20.75,14.59375,3.875,21.375,"ORL",94.3529411764706,30.323529411764707,62.8235294117647,6.764705882352941,19.029411764705884,13.411764705882353,18.294117647058822,9.058823529411764,31.147058823529413,20.0,7.735294117647059,14.058823529411764,3.735294117647059,20.91176470588235
